"A1","A11","A12","A2","A3","A4","A6","A7","A8","A9","C10","C11","C12","C2","C3","C4","C6","C7","C8","C9","E1","E10","E11","E12","E3","E5","E6","E7","E8","E9","EA1","EA10","EA11","EA12","EA3","EA4","EA5","EA6","EA8","EA9","V1","V10","V11","V12","V2","V4","V6","V7","V8","V9","VA1","VA10","VA11","VA12","VA2","VA3","VA4","VA5","VA6","VA7"
0,0,10,25,0,0,0,0,0,0,0,27,29,42,14,0,6,22,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,32,22,40,0,0,21,0,0,23,0,0,0,0,11,0,0,0,15,0
17310.63,44591.55,11576.82,23812.17,25616.16,13038.64,18669.47,19422.87,24463.12,15140.26,27173.17,22281.15,31776.56,23277.89,16261.49,21111.18,22661.11,24540.46,21324.37,35906.78,53306.11,50621.4,24276,17065.51,15127.76,29871.27,21569.08,19888.11,20620.2,17670.5,18779.6,23710.75,20043.19,11900.24,12182.7,11354.46,15543.2,25044.06,38469.21,29183.18,17132.47,38863.3,35316.57,43161.76,23845.92,19112.26,46728.89,33093.16,40094.92,28002.98,11669.25,21297.27,14829.2,19109.8,13996.74,17737.62,20027.91,19581.91,17916.18,20167.36
366880.61,900296.68,224156.18,503440.74,456764.8,254995.72,385144.22,411406.59,432100.68,293564.7,575333.88,505430.06,658050.88,536197.03,345552.29,446466.25,392158.47,548658.51,371282.29,744722.04,938350.72,903154.22,427298.97,313258,261829.68,523900.38,387099.22,362677.95,350326.69,311612.3,339457.72,431354.56,363233.82,215390.74,223570.24,213156.61,287013.95,455959.96,694742.72,535324.5,372300.22,826683.75,712576.28,913152.81,491660.13,403167.73,997395.42,681569.36,801815.32,565547.7,235784.88,373495.42,263543.81,420854.33,295327.8,353895.43,342968.48,436842.89,355374.29,446344.08
0,48.17,0,0,0,0,0,0,0,0,217,0,0,0,21,232,15.83,0,11,50,25.67,29.33,29.83,0,14.5,40.17,12.33,16.17,28.5,10.67,30.5,44.5,16.5,26.67,30,19.33,16.17,83.5,77.17,36.33,144,319,407.5,292.83,345,193,383.5,433,260.67,246,104,19.67,13.17,53,63,9,21.83,68,13,71
96973.56,203037.57,66679.32,115517.89,127329.74,75542.5,103068.5,91893.77,121552.91,87986.03,130919.85,123536.2,144181.29,132306.25,78673.55,98057.08,110389,137278.17,104178.86,165480.59,254370.78,255726.51,117959.66,85069.96,71215.76,148818.82,104179.15,100628.54,93782.55,86101.75,88988.29,115854.87,101269.69,59721.77,60254.84,58600.78,80761.23,122665.83,195280.83,151767.81,77583.57,163292.31,166502.26,193228.79,113066.21,84660.73,215345.49,159641.75,191313.87,123012.37,51693.92,100069.22,69528.24,85297.23,70098.6,90586.51,91831.47,89400.66,92260.52,89507.95
20391.83,60268.15,12494.86,33122.73,29974.23,15022.21,21121.08,27091.37,27953.19,16927.27,35193.94,31166.09,44829.44,32884.02,22919,27528.18,27145.25,33986.55,25439.42,51043.48,66523.46,58740.71,30418.28,22602.98,19121.5,34876.14,27323.64,24795.14,27891.96,20293.89,25049.94,31668.68,24177.78,15125.94,15713.51,13771.46,18460,33250.16,45928.78,34082.38,24336.62,55221.13,45273.28,60547.75,32559.54,27256.75,65667.51,43880.9,51860.01,38350.13,15447.64,27915.18,19807.38,27068.26,18320.19,21402.25,25308.46,27419.06,22276.42,29113.76
146145.02,307982.3,97681.88,172642.07,191668.46,112023.65,157317.69,136774.49,183942.68,130003.97,203994.1,187239.35,216313.72,198841.99,115905.8,153678.47,165809.73,205359.1,158183.2,247195.96,403768.48,390008.19,183597.22,134668.68,112876.43,225234.91,164817.71,156694.05,152498.48,130839.39,140771.84,183076.83,154248.95,93659.64,96953.65,92115.1,125528.63,190640.22,303358.1,234642.54,129576.13,280977.69,264666.6,321848.66,180910.84,140176.19,352139.79,251478.77,303484.04,201390.45,79921.79,156552.61,108680.61,133537.63,107688.36,138128.29,144371.5,138554.74,138846.61,140413.51
126961.39,282551.45,83155.96,159805.85,160849.75,94939.11,135172.17,128972.82,154313.88,109019.17,178501.51,169502.53,204191.56,180794.31,109451.59,135083,137177.45,185769.22,131332.09,233580.83,335136.03,331676.52,158424.97,113840.26,96210.9,183197.74,138313.93,133633.86,129843.53,107794.79,121649.05,156786.89,129464.26,79721.51,82201.59,76879.82,103512.52,165045.33,253372.6,193591.68,103771.91,224862.7,214212.03,264337.85,148134.98,116740.94,285285.44,205223.87,243628.57,165948.62,70010.84,137154.51,94692.92,116681.56,91539.87,117633.75,127047.65,123401.47,117017.61,123617.74
13471.15,44560.66,6827.64,22669.67,16660.34,7766.95,14713.99,19263.7,15688.88,8741.92,28005,21047.77,36217.54,21479.55,17911.32,22573.86,13120.3,22417,12473.02,39755.4,35620.2,32095.36,15125.62,12010.52,9374.17,19849.35,14611.46,13293.65,13354.64,12167.99,13081.31,16593.13,12976.3,8213.73,9526.87,8027.46,10607.54,17455.89,27677.94,20064.59,20726.81,48690.14,36491.24,50915.93,25270.94,21859.25,53896.07,34989.81,40182.68,30436.81,12288.47,12988.39,9202.44,20340.63,13814.93,16167.02,11894.16,20579.38,15637.72,21850.03
153185.8,350548.47,99605.44,192110.85,196153.29,114530.92,165095.92,157728.51,187653.49,131234.06,241180.01,200573.84,255238.87,209320.99,133774.18,185975.8,179152.95,219631.4,169758.52,290299.96,394956.2,393249.46,197395.66,130983.53,123552.69,229733.14,160701.47,159500.7,171388.19,132822.08,151613.61,194165.39,159299.59,92809.46,96815.33,89023.37,119425.73,200139.15,295807.89,226296,152179.46,340878.99,298934.36,374075.89,206360.08,165196.49,410799.77,283984.74,331463.71,234185.01,92980.12,175028.85,120576.94,156589.86,113789.68,144866.25,163063.58,160261.58,144071.02,165810.97
