"Treatment","Al","B","Ca","Fe","K","Mg","Mn","Mo","Ni","P","S","Zn","Na","Cu"
"Vermont",0.104,0.005,4.964,0.331,25.862,2.251,0.052,0.001,0.001,1.636,2.135,0.043,1.276,0.006
"Vermont",0.092,0.004,4.641,0.34,20.511,1.861,0.054,0,0,1.07,1.974,0.047,0.76,0.006
"Vermont",0.066,0.003,3.392,0.249,19.436,1.264,0.045,0.001,0,1.086,1.697,0.042,0.925,0.007
"Vermont",0.187,0.006,7.316,0.546,27.187,2.628,0.107,0.001,0.001,1.783,3.415,0.076,1.346,0.037
"Vermont",0.123,0.005,5.236,0.391,25.843,1.699,0.052,0.001,0.001,1.258,1.823,0.045,0.863,0.009
"Vermont",0.18,0.005,6.839,0.558,18.323,2.29,0.087,0,0.001,1.307,2.488,0.031,1.023,0.005
"Vermont",0.182,0.006,6.954,0.509,20.252,2.048,0.072,0.001,0.001,1.242,2.109,0.065,1.247,0.021
"Vermont",0.158,0.005,6.066,0.502,13.075,1.895,0.046,0.001,0.001,0.858,2.03,0.03,1.737,0.005
"Vermont",0.112,0.005,5.936,0.379,26.498,1.933,0.065,0.001,0.001,1.051,2.09,0.051,1.024,0.016
"Vermont_AMF",0.156,0.004,6.209,0.438,43.03,2.912,0.07,0.001,0.001,2.021,2.248,0.064,1.089,0.024
"Vermont_AMF",0.122,0.005,4.773,0.342,31.986,2.04,0.043,0,0.001,1.446,1.851,0.037,0.961,0.006
"Vermont_AMF",0.088,0.004,4.9,0.302,29.73,2.741,0.059,0,0.001,1.291,2.215,0.065,1.333,0.077
"Vermont_AMF",0.108,0.004,4.661,0.334,37.987,2.241,0.054,0,0.001,1.852,1.805,0.057,0.896,0.006
"Vermont_AMF",0.133,0.002,4.479,0.306,28.84,1.988,0.035,0,0.001,2.119,1.876,0.053,0.997,0.033
"Vermont_AMF",0.187,0.004,7.164,0.421,15.596,3.209,0.063,0.001,0.001,1.287,1.914,0.046,1.004,0.009
"Vermont_AMF",0.144,0.005,5.247,0.445,39.894,2.465,0.057,0.001,0.001,1.664,1.787,0.056,0.889,0.017
"Vermont_AMF",0.217,0.002,6.284,0.434,46.584,3.42,0.067,0.001,0.001,2.983,2.456,0.074,1.154,0.022
"Vermont_AMF",0.217,0.006,6.456,0.477,20.867,2.59,0.05,0,0.001,1.692,2.589,0.049,1.41,0.009
"Vermont_AMF",0.142,0.004,5.4,0.358,18.475,2.295,0.057,0,0.001,1.718,2.409,0.05,1.326,0.013
"Vermont_AMF",0.168,0.004,6.289,0.399,16.727,2.529,0.078,0.001,0.001,1.906,2.799,0.044,1.348,0.013
"Vermont_AMF",0.186,0.004,7.367,0.415,19.114,2.705,0.062,0,0.001,1.211,2.202,0.044,1.325,0.009
