"to","from","weight","color","weight_abs","target_species","source_species","Treatment","from_Kingdom","from_Phylum","from_Class","from_Order","from_Family","from_Genus","from_Species","to_Kingdom","to_Phylum","to_Class","to_Order","to_Family","to_Genus","to_Species"
"c275796f886bab5ac3996084e9195d24","34b8f9e53bd9a463bffcf9afe5d97457",-0.00315,"red",0.00315,"Genus:Nevskia","Genus:Niastella","Vermont","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Niastella","Genus:Niastella","Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae","Nevskia","Genus:Nevskia"
"c3357091b1eb1426ead2803433360b07","48ccf1e2969896d59252679ec29a8aa2",0.0413,"darkblue",0.0413,"Genus:Chryseolinea","Genus:Noviherbaspirillum","Vermont","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Chryseolinea","Genus:Chryseolinea","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Noviherbaspirillum","Genus:Noviherbaspirillum"
"c3357091b1eb1426ead2803433360b07","b4b0d2863d38241aed80c872fd1fe5ef",0.0597,"darkblue",0.0597,"Genus:Noviherbaspirillum","Genus:GWA1-52-35","EBPR","Bacteria","Bdellovibrionota","Bdellovibrionia","UBA1018","UBA1018","GWA1-52-35","Genus:GWA1-52-35","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Noviherbaspirillum","Genus:Noviherbaspirillum"
"c3357091b1eb1426ead2803433360b07","80eddc78aab05c0978f00a334c20d636",-0.0329,"red",0.0329,"Genus:Actinocatenispora","Genus:Noviherbaspirillum","Vermont","Bacteria","Actinobacteriota","Actinomycetia","Mycobacteriales","Micromonosporaceae","Actinocatenispora","Genus:Actinocatenispora","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Noviherbaspirillum","Genus:Noviherbaspirillum"
"c3357091b1eb1426ead2803433360b07","6472eb8b1e09f892aca2f23182962903",0.0417,"darkblue",0.0417,"Genus:Noviherbaspirillum","Genus:Bradyrhizobium","Vermont","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","Genus:Bradyrhizobium","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Noviherbaspirillum","Genus:Noviherbaspirillum"
"c5232fcc1ffbb1cfa18f3c9f433f63c4","495a55d8d11cd52d679f26c575ec7c72",0.0515,"darkblue",0.0515,"Order:Polyangiales","Family:Gemmatimonadaceae","AMF","Bacteria","Gemmatimonadota","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Family:Gemmatimonadaceae","Family:Gemmatimonadaceae","Bacteria","Myxococcota","Polyangia","Polyangiales","Order:Polyangiales","Order:Polyangiales","Order:Polyangiales"
"c5232fcc1ffbb1cfa18f3c9f433f63c4","75dfbaa6610d42e3af05d0549e07f6f8",0.067,"darkblue",0.067,"Order:Polyangiales","Genus:Cavicella","EBPR_AMF","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Cavicella","Genus:Cavicella","Bacteria","Myxococcota","Polyangia","Polyangiales","Order:Polyangiales","Order:Polyangiales","Order:Polyangiales"
"c5232fcc1ffbb1cfa18f3c9f433f63c4","b7ac776e17622968b145fdb628a1df35",0.101,"darkblue",0.101,"Family:UBA2337","Order:Polyangiales","EBPR_AMF","Bacteria","Omnitrophota","Omnitrophia","Omnitrophales","UBA2337","Family:UBA2337","Family:UBA2337","Bacteria","Myxococcota","Polyangia","Polyangiales","Order:Polyangiales","Order:Polyangiales","Order:Polyangiales"
"c5232fcc1ffbb1cfa18f3c9f433f63c4","1b9a7c868176db41ab413e3675f8225c",0.116,"darkblue",0.116,"Genus:REDI01","Order:Polyangiales","EBPR_AMF","Bacteria","Myxococcota","UBA796","UBA796","GCA-2862545","REDI01","Genus:REDI01","Bacteria","Myxococcota","Polyangia","Polyangiales","Order:Polyangiales","Order:Polyangiales","Order:Polyangiales"
"c5232fcc1ffbb1cfa18f3c9f433f63c4","3bed507c2cb7458e3bd9b0ee3692fecb",-0.0336,"red",0.0336,"Order:Polyangiales","Family:Streptomycetaceae","AMF","Bacteria","Actinobacteriota","Actinomycetia","Streptomycetales","Streptomycetaceae","Family:Streptomycetaceae","Family:Streptomycetaceae","Bacteria","Myxococcota","Polyangia","Polyangiales","Order:Polyangiales","Order:Polyangiales","Order:Polyangiales"
"c593c0d3f028e3605bd217b54296d4c9","772040d7563cd07239a82ca7478f94f8",0.0473,"darkblue",0.0473,"Genus:Asprobacter","Genus:Parvibaculum","AMF","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Asprobacter","Genus:Asprobacter","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Parvibaculum","Genus:Parvibaculum"
"c593c0d3f028e3605bd217b54296d4c9","83233b11607e6ceeca0bb04473bdb798",0.0982,"darkblue",0.0982,"Genus:Parvibaculum","Genus:Peredibacter","AMF","Bacteria","Bdellovibrionota","Bacteriovoracia","Bacteriovoracales","Peredibacteraceae","Peredibacter","Genus:Peredibacter","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Parvibaculum","Genus:Parvibaculum"
"c593c0d3f028e3605bd217b54296d4c9","2540caba6ee4758f7b138bbe10835346",0.11,"darkblue",0.11,"Genus:Parvibaculum","Genus:Castellaniella","AMF","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Castellaniella","Genus:Castellaniella","Bacteria","Proteobacteria","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Parvibaculum","Genus:Parvibaculum"
"c83102b352f538b7031b8ab74c4858c9","1ed6f4ce71546bfb9593edd78456b74f",-0.0641,"red",0.0641,"Genus:Rhodopseudomonas","Class:Bacilli","EBPR","Bacteria","Firmicutes","Bacilli","Class:Bacilli","Class:Bacilli","Class:Bacilli","Class:Bacilli","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas","Genus:Rhodopseudomonas"
"c83102b352f538b7031b8ab74c4858c9","507a85379fb46aba8204ea8720870eab",-0.175,"red",0.175,"Genus:Rhodopseudomonas","Genus:Pirellula","EBPR","Bacteria","Planctomycetota","Planctomycetia","Pirellulales","Pirellulaceae","Pirellula","Genus:Pirellula","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas","Genus:Rhodopseudomonas"
"c834e02be94ea60ec2900976677cc474","1950f790c3f5306e08d16bbcb71a0658",-0.156,"red",0.156,"Genus:OLB8","Genus:Rhizomicrobium","EBPR","Bacteria","Proteobacteria","Alphaproteobacteria","Micropepsales","Micropepsaceae","Rhizomicrobium","Genus:Rhizomicrobium","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","OLB8","Genus:OLB8"
"c834e02be94ea60ec2900976677cc474","86f9025d2c0fe53e002708cb25e54dbb",0.054,"darkblue",0.054,"Genus:OLB8","Genus:Paludisphaera","EBPR","Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Paludisphaera","Genus:Paludisphaera","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","OLB8","Genus:OLB8"
"cac1bda6cafed6c13accd90ef2aae081","b40267d30a025272256c6133b8268e2d",-0.0836,"red",0.0836,"Genus:Zavarzinella","Family:Isosphaeraceae","EBPR_AMF","Bacteria","Planctomycetota","Planctomycetia","Isosphaerales","Isosphaeraceae","Family:Isosphaeraceae","Family:Isosphaeraceae","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","Zavarzinella","Genus:Zavarzinella"
"cac1bda6cafed6c13accd90ef2aae081","b5be84a0cc56de3a1a79785a365f070d",0.00685,"darkblue",0.00685,"Genus:Zavarzinella","Genus:WHSN01","EBPR_AMF","Bacteria","Acidobacteriota","Vicinamibacteria","Vicinamibacterales","UBA2999","WHSN01","Genus:WHSN01","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","Zavarzinella","Genus:Zavarzinella"
"cad66b29b87082788e44668ef14b8b72","29e1fbe832ebeacb55e1d087022e4ab6",0.0257,"darkblue",0.0257,"Genus:Nocardioides","Genus:Dyella","EBPR_AMF","Bacteria","Actinobacteriota","Actinomycetia","Propionibacteriales","Nocardioidaceae","Nocardioides","Genus:Nocardioides","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","3bed507c2cb7458e3bd9b0ee3692fecb",0.0656,"darkblue",0.0656,"Genus:Dyella","Family:Streptomycetaceae","EBPR_AMF","Bacteria","Actinobacteriota","Actinomycetia","Streptomycetales","Streptomycetaceae","Family:Streptomycetaceae","Family:Streptomycetaceae","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","7075f18780b53b3903037546f5540e71",0.023,"darkblue",0.023,"Genus:Frateuria","Genus:Dyella","Vermont","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Frateuria","Genus:Frateuria","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","6c5f4f9666d82b1bedf94e99acfe6741",0.0265,"darkblue",0.0265,"Genus:Dyella","Genus:Neobacillus","EBPR_AMF","Bacteria","Firmicutes","Bacilli","Bacillales","DSM-18226","Neobacillus","Genus:Neobacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","b1a795217b9a3f4814ee5cae27450501",-0.043,"red",0.043,"Family:UBA5704","Genus:Dyella","AMF","Bacteria","Acidobacteriota","Thermoanaerobaculia","UBA5704","UBA5704","Family:UBA5704","Family:UBA5704","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","4ed0abce9662a5fe27b3ceb5bf6ec61f",0.0679,"darkblue",0.0679,"Genus:Sphingomonas","Genus:Dyella","EBPR","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Genus:Sphingomonas","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","a47fe9d2ebacfb4e6e443d3e273f1f7b",0.102,"darkblue",0.102,"Genus:Spirillospora","Genus:Dyella","EBPR","Bacteria","Actinobacteriota","Actinomycetia","Streptosporangiales","Streptosporangiaceae","Spirillospora","Genus:Spirillospora","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","1137908dfe3b63a4b7903e49e76dbef7",0.0057,"darkblue",0.0057,"Family:Chitinophagaceae","Genus:Dyella","EBPR","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Family:Chitinophagaceae","Family:Chitinophagaceae","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","7075f18780b53b3903037546f5540e71",0.113,"darkblue",0.113,"Genus:Frateuria","Genus:Dyella","EBPR","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Frateuria","Genus:Frateuria","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cad66b29b87082788e44668ef14b8b72","96c197899a73bd0cc281030b9a444607",0.0229,"darkblue",0.0229,"Genus:Paenibacillus","Genus:Dyella","EBPR_AMF","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","Genus:Paenibacillus","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella","Genus:Dyella"
"cefaaacfe9b618111b20ac7e0868e83c","817725950d1e7e63b3d8d62ea796d24e",0.0257,"darkblue",0.0257,"Genus:Baekduia","Genus:UBA10511","Vermont","Bacteria","Actinobacteriota","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Baekduia","Genus:Baekduia","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","UBA10511","UBA10511","Genus:UBA10511"
"cefaaacfe9b618111b20ac7e0868e83c","abb3d31ed1c1f986ddb94d51af8e67ef",0.116,"darkblue",0.116,"Genus:UBA10511","Family:Burkholderiaceae","EBPR","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Family:Burkholderiaceae","Family:Burkholderiaceae","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","UBA10511","UBA10511","Genus:UBA10511"
"cefaaacfe9b618111b20ac7e0868e83c","9d44dd1acec65217b48ad17b7f18fd46",0.0157,"darkblue",0.0157,"Genus:UBA10511","Genus:Urbifossiella","AMF","Bacteria","Planctomycetota","Planctomycetia","Gemmatales","Gemmataceae","Urbifossiella","Genus:Urbifossiella","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","UBA10511","UBA10511","Genus:UBA10511"
"d67c365dce47104f34fc44ca059d411e","8f813280e8cc1c972cdf97b409fa6840",0.211,"darkblue",0.211,"Genus:Edaphobacter","Genus:Prosthecobacter","EBPR","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter","Genus:Prosthecobacter","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae","Edaphobacter","Genus:Edaphobacter"
"d67c365dce47104f34fc44ca059d411e","9b9b09f2f75e1d03cc376a48dcc62da6",0.07,"darkblue",0.07,"Genus:Edaphobacter","Genus:VKM-B-2647","EBPR","Bacteria","Firmicutes","Bacilli","Paenibacillales","NBRC-103111","VKM-B-2647","Genus:VKM-B-2647","Bacteria","Acidobacteriota","Acidobacteriae","Acidobacteriales","Acidobacteriaceae","Edaphobacter","Genus:Edaphobacter"
